Q571794;P580;1125612000.0
Q13308429;P580;1379800800.0
Q282724;P580;967932000.0
Q30643951;P580;1498255200.0
Q1649798;P580;1171407600.0
Q1144244;P580;-120445200.0
Q375654;P580;-479523600.0
Q748071;P580;-651117600.0
Q17772138;P580;1412892000.0
Q688351;P580;1358550000.0
Q840755;P580;946681200.0
Q17182158;P580;1415401200.0
Q1041051;P580;146444400.0
Q2666801;P580;903132000.0
Q1596013;P580;906069600.0
Q4348963;P580;1350684000.0
Q541980;P580;444092400.0
Q1353823;P580;1344031200.0
Q3957510;P580;181090800.0
Q904633;P580;1247868000.0
Q3699523;P580;1315951200.0
Q685389;P580;495496800.0
Q1574224;P580;1184968800.0
Q1144754;P580;1049493600.0
Q17630819;P580;1412978400.0
Q3956682;P580;1254002400.0
Q725963;P580;-1688349600.0
Q4609960;P580;1188338400.0
Q2315860;P580;1338760800.0
Q1319990;P580;1268953200.0
Q1366231;P580;782089200.0
Q937806;P580;1163113200.0
Q574611;P580;84582000.0
Q22919732;P580;1471816800.0
Q2955709;P580;1405980000.0
Q4889205;P580;1234998000.0
Q1091509;P580;924991200.0
Q28829;P580;1289343600.0
Q1024039;P580;-3373200.0
Q429238;P580;-2027638800.0
Q20646817;P580;1446505200.0
Q28182884;P580;1488409200.0
Q3692934;P580;1314914400.0
Q30641185;P580;1503093600.0
Q4510461;P580;-1060736400.0
Q2385071;P580;-2473462408.0
Q69791;P580;920761200.0
Q481305;P580;1328050800.0
Q211915;P580;1309384800.0
Q928795;P580;-1923613200.0
Q2412376;P580;-2310771600.0
Q4584277;P580;593046000.0
Q3647283;P580;1047682800.0
Q3829523;P580;1314050400.0
Q21856032;P580;1456873200.0
Q24083529;P580;1470434400.0
Q2698244;P580;843170400.0
Q16335962;P580;1407448800.0
Q33124674;P580;1504216800.0
Q28128485;P580;1486076400.0
Q16544758;P580;715903200.0
Q11601219;P580;1261263600.0
Q18342495;P580;1478818800.0
Q12874825;P580;1126908000.0
Q21040038;P580;1439935200.0
Q3957772;P580;-72320400.0
Q19428349;P580;1425942000.0
Q4402196;P580;1401660000.0
Q4115188;P580;1013295600.0
Q4591059;P580;819500400.0
Q1615028;P580;1287784800.0
Q1231404;P580;-498099600.0
Q24068434;P580;1476223200.0
Q627983;P580;-337827600.0
Q18701950;P580;1428616800.0
Q40502121;P580;1536184800.0
Q682428;P580;1312581600.0
Q1134610;P580;182214000.0
Q1078871;P580;999900000.0
Q59420;P580;-89254800.0
Q8261095;P580;-714106800.0
Q20967132;P580;1443304800.0
Q972180;P580;43110000.0
Q3829525;P580;1220133600.0
Q4572158;P580;-136774800.0
Q4603920;P580;1105657200.0
Q846447;P580;890953200.0
Q1772930;P580;733273200.0
Q22911716;P580;1486767600.0
Q954892;P580;745797600.0
Q586977;P580;-104720400.0
Q1436262;P580;619480800.0
Q17772139;P580;1412978400.0
Q15067056;P580;1381615200.0
Q662393;P580;1272319200.0
Q24576165;P580;1591394400.0
Q1573332;P580;1081720800.0
Q275687;P580;1294354800.0
Q2446804;P580;1254607200.0
Q1230884;P580;-295578000.0
Q248964;P580;1394838000.0
Q305085;P580;131065200.0
Q4348961;P580;1287871200.0
Q562850;P580;1237590000.0
Q1735788;P580;116982000.0
Q479114;P580;-704858400.0
Q10405136;P580;889916400.0
Q20805561;P580;596934000.0
Q16244406;P580;1380837600.0
Q162538;P580;1206572400.0
Q4630166;P580;1365717600.0
Q2630021;P580;1159567200.0
