Q3433938;P2044;['+13']
Q3274018;P2044;['+19']
Q2901712;P2044;['+160']
Q3912746;P2044;['+650']
Q10851659;P2044;['+936']
Q5242807;P2044;['+152']
Q3914195;P2044;['+1970']
Q11168151;P2044;['+2220']
Q3734883;P2044;['+149']
Q2901846;P2044;['+12']
Q1654627;P2044;['+382']
Q7984430;P2044;['+887']
Q1432123;P2044;['+214']
Q3914369;P2044;['+951']
Q5685135;P2044;['+383']
Q16893081;P2044;['+16']
Q2009894;P2044;['+26']
Q7570950;P2044;['+6']
Q2875746;P2044;['+280']
Q3813757;P2044;['+244']
Q651392;P2044;['+47']
Q3886683;P2044;['+74']
Q1433904;P2044;['+1240']
Q2234528;P2044;['+65']
Q12692416;P2044;['+390']
Q3912982;P2044;['+580']
Q3274713;P2044;['+212']
Q2876027;P2044;['+439']
Q1175431;P2044;['+21']
Q767753;P2044;['+152']
Q652716;P2044;['+2095']
Q7060828;P2044;['+23']
Q619653;P2044;['+6752']
Q1657446;P2044;['+9.75']
Q13525673;P2044;['+354']
Q7396997;P2044;['+30']
Q11824585;P2044;['+1061']
Q7511718;P2044;['+4984']
Q2696338;P2044;['+425']
Q3606057;P2044;['+195']
Q6343226;P2044;['+3']
Q6433854;P2044;['+549']
Q7197397;P2044;['+1736']
Q16899749;P2044;['+722']
Q3914449;P2044;['+311']
Q6079811;P2044;['+1380']
Q16985147;P2044;['+583']
Q3234757;P2044;['+553']
Q3913172;P2044;['+866']
Q597664;P2044;['+76']
Q3275819;P2044;['+1240']
Q4762737;P2044;['+60']
Q3813412;P2044;['+20']
Q1197691;P2044;['+7']
Q771340;P2044;['+14']
Q12691712;P2044;['+3']
Q1432192;P2044;['+718']
Q15278851;P2044;['+4529']
Q12692904;P2044;['+166']
Q5642106;P2044;['+145']
Q2268242;P2044;['+177']
Q6908302;P2044;['+1970']
Q8762408;P2044;['+407']
Q2875938;P2044;['+10']
Q3566050;P2044;['+39']
Q7110096;P2044;['+2060']
Q2235247;P2044;['+968']
Q597543;P2044;['+1054']
Q3914208;P2044;['+71']
Q598652;P2044;['+72']
Q653452;P2044;['+170']
Q3274542;P2044;['+610']
Q7202510;P2044;['+1513']
Q3502284;P2044;['+1343']
Q1431076;P2044;['+767']
Q6435236;P2044;['+1376']
Q5927971;P2044;['+266']
Q2902141;P2044;['+9']
Q28450380;P2044;['+590']
Q7208153;P2044;['+3']
Q708555;P2044;['+24']
Q2901381;P2044;['+2413']
Q7335365;P2044;['+20']
Q8026242;P2044;['+44']
Q17625;P2044;['+89']
Q7795629;P2044;['+264']
Q652405;P2044;['+522']
Q7315207;P2044;['+402']
Q3886404;P2044;['+850']
Q3499422;P2044;['+984']
Q17612;P2044;['+13']
Q4202006;P2044;['+42']
Q12693801;P2044;['+2077']
Q598556;P2044;['+2265']
Q7922296;P2044;['+647']
Q7491558;P2044;['+1073']
Q6673058;P2044;['+3175']
Q2901892;P2044;['+44']
Q3915296;P2044;['+2435']
Q1837190;P2044;['+112']
Q3274648;P2044;['+188']
Q2903067;P2044;['+1657']
Q735756;P2044;['+7']
Q7604908;P2044;['+236']
Q12693466;P2044;['+1296']
Q1658195;P2044;['+1017']
Q1654729;P2044;['+4128']
Q6704727;P2044;['+1608']
Q16896415;P2044;['+74']
Q2233185;P2044;['+23']
Q2290825;P2044;['+113']
Q7515833;P2044;['+1088.6']
Q16899519;P2044;['+1990']
Q15111;P2044;['+89']
Q3913706;P2044;['+739']
Q17090927;P2044;['+4344']
Q4699284;P2044;['+3']
Q14704755;P2044;['+2037']
Q2672950;P2044;['+20']
Q652165;P2044;['+586']
Q1062308;P2044;['+288']
Q7291052;P2044;['+9']
Q3914231;P2044;['+1408']
Q651237;P2044;['+207']
Q1432310;P2044;['+19']
Q1038664;P2044;['+41']
Q3606034;P2044;['+22']
Q6879105;P2044;['+313']
Q7569228;P2044;['+699']
Q14711026;P2044;['+18']
Q3334432;P2044;['+41']
Q1433103;P2044;['+4353']
Q2671168;P2044;['+110']
Q949783;P2044;['+151']
Q16901251;P2044;['+329']
Q3565435;P2044;['+974']
Q3503051;P2044;['+750']
Q16899326;P2044;['+197']
Q1416280;P2044;['+226']
Q3913201;P2044;['+1250']
Q25068030;P2044;['+1995']
Q3914949;P2044;['+1283']
Q20453454;P2044;['+1365']
Q16895595;P2044;['+80']
Q2550620;P2044;['+145']
Q3612569;P2044;['+231']
Q3913497;P2044;['+31']
Q2902395;P2044;['+980']
Q8045240;P2044;['+961']
Q20460491;P2044;['+95']
Q3914721;P2044;['+625']
Q2786937;P2044;['+2613']
Q4860751;P2044;['+638']
Q16896184;P2044;['+249']
Q267645;P2044;['+195']
Q4985822;P2044;['+433']
Q1658451;P2044;['+5837']
Q1655543;P2044;['+2770']
Q2279248;P2044;['+3665']
Q5332680;P2044;['+1535']
Q2875732;P2044;['+112']
Q3275613;P2044;['+5']
Q7489785;P2044;['+39']
Q651471;P2044;['+8781']
Q926638;P2044;['+407']
Q3886630;P2044;['+22']
Q891079;P2044;['+489']
Q3014736;P2044;['+4']
Q874383;P2044;['+4']
Q3274196;P2044;['+3']
Q6343859;P2044;['+35']
Q7573267;P2044;['+1843']
Q15520;P2044;['+171']
Q1657132;P2044;['+1569']
Q20452440;P2044;['+1476']
Q3274958;P2044;['+1224']
Q3913546;P2044;['+927']
Q117807;P2044;['+225']
Q16894766;P2044;['+6']
Q3914097;P2044;['+1530']
Q1933087;P2044;['+42']
Q1431102;P2044;['+627']
Q847772;P2044;['+926']
Q2901010;P2044;['+78']
Q3497425;P2044;['+62']
Q2919631;P2044;['+1872']
Q3912987;P2044;['+246']
Q17998807;P2044;['+40']
Q781851;P2044;['+10']
Q3565328;P2044;['+3589']
Q2213149;P2044;['+144']
Q3887478;P2044;['+732']
Q24882748;P2044;['+4']
Q3612729;P2044;['+637']
Q7371276;P2044;['+1064']
Q3913344;P2044;['+6']
Q3913408;P2044;['+1981']
Q1431218;P2044;['+197']
Q5471568;P2044;['+1762']
Q2367755;P2044;['+9']
Q24061826;P2044;['+330.9']
Q16904573;P2044;['+14']
Q7994580;P2044;['+914']
Q5339004;P2044;['+2520']
Q16890912;P2044;['+330']
Q3275452;P2044;['+797']
Q701561;P2044;['+791']
Q3275646;P2044;['+292']
Q7974507;P2044;['+833']
Q598850;P2044;['+42']
Q7503100;P2044;['+298']
Q3480343;P2044;['+8']
Q2401191;P2044;['+60']
Q3913678;P2044;['+1640']
Q1708931;P2044;['+56']
Q2650413;P2044;['+207']
Q3813438;P2044;['+72']
Q821267;P2044;['+1491']
Q2902386;P2044;['+1400']
Q7988642;P2044;['+932']
Q6588743;P2044;['+304']
Q4072965;P2044;['+44']
Q16967494;P2044;['+725']
Q2231716;P2044;['+32']
Q16891054;P2044;['+472']
Q7163344;P2044;['+463']
Q16892344;P2044;['+0']
Q7417010;P2044;['+664']
Q6588332;P2044;['+995']
Q3915664;P2044;['+3055']
Q3566287;P2044;['+36']
Q11824275;P2044;['+131']
Q21974345;P2044;['+633']
Q5462911;P2044;['+2']
Q16890950;P2044;['+684']
Q7110176;P2044;['+892']
Q12016371;P2044;['+526']
Q7853099;P2044;['+194']
Q597097;P2044;['+75']
Q1655347;P2044;['+2131']
Q7915665;P2044;['+922']
Q4789821;P2044;['+289']
Q676718;P2044;['+8']
Q2031102;P2044;['+652']
Q1334587;P2044;['+17']
Q7641162;P2044;['+4164']
Q4272507;P2044;['+27']
Q3913181;P2044;['+1563']
Q3017740;P2044;['+9']
Q17998801;P2044;['+4']
Q3565798;P2044;['+3']
Q7636814;P2044;['+322']
Q4688177;P2044;['+420']
